R2 Bucket: green-bond-storage
Prefix: prospektus/
Generated: 2026-03-11

| #   | Folder                                                                           | Files | Size (MB) |
| 223 | 20250430_IMJS_Prospektus Ringkas Penawaran Umum Terbatas IV Kepada Para Pe       |     1 |      0.74 |
| 224 | 20250430_MEDP_Penyampaian Prospektus                                             |     2 |      0.79 |
| 225 | 20250502_IMJS_Penyampaian Bukti Iklan Pengumuman Prospektus Ringkas Dalam        |     1 |      0.40 |
| 226 | 20250507_POST_Penyampaian Prospektus                                             |     2 |      0.77 |
| 227 | 20250514_CARE_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran       |     4 |      2.15 |
| 228 | 20250514_CARE_Penyampaian Bukti Iklan Pemberitahuan atas Prospektus Ringka       |     2 |      0.03 |
| 229 | 20250521_BCAP_Penyampaian Prospektus                                             |     1 |      1.26 |
| 230 | 20250521_DWGL_Penyampaian Prospektus                                             |     2 |      0.80 |
| 231 | 20250521_OTMA_Penyampaian Prospektus                                             |     2 |      0.56 |
| 232 | 20250521_TRIM_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena       |     2 |      1.70 |
| 233 | 20250522_OTMA_Penyampaian Prospektus                                             |     2 |      0.60 |
| 234 | 20250523_BFIN_Penyampaian Prospektus                                             |     1 |      0.40 |
| 235 | 20250523_UNKNOWN_Penyampaian Perubahan Prospektus Waran Terstuktur                |     1 |      1.89 |
| 236 | 20250526_WOMF_Penyampaian Prospektus                                             |     2 |      1.61 |
| 237 | 20250527_BMTR_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     1 |      0.32 |
| 238 | 20250527_BMTR_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi dan       |     1 |      0.47 |
| 239 | 20250527_HATM_Penyampaian Prospektus                                             |     1 |      0.80 |
| 240 | 20250528_BMTR_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     2 |     16.65 |
| 241 | 20250528_BRIS_Penyampaian Prospektus                                             |     2 |      1.69 |
| 242 | 20250603_NISP_Publikasi Prospektus Ringkas Obligasi Berkelanjutan IV OCBC        |     4 |     13.97 |
| 243 | 20250604_BCAP_Penyampaian Prospektus                                             |     1 |      1.38 |
| 244 | 20250604_IMFI_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Prospektus R       |     3 |      0.70 |
| 245 | 20250610_BCAP_Penyampaian Prospektus                                             |     1 |      0.44 |
| 246 | 20250610_BFIN_Penyampaian Prospektus                                             |     1 |      0.31 |
| 247 | 20250610_BWPT_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Prospektus R       |     7 |      3.23 |
| 248 | 20250611_BFIN_Penyampaian Prospektus (KOREKSI)                                   |     1 |      0.49 |
| 249 | 20250612_BBNI_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena       |     1 |      1.00 |
| 250 | 20250612_BFIN_Penyampaian Prospektus (KOREKSI)                                   |     1 |      0.44 |
| 251 | 20250612_FASW_Penyampaian Prospektus                                             |     1 |      3.16 |
| 252 | 20250612_HATM_Penyampaian Prospektus                                             |     1 |      0.80 |
| 253 | 20250612_OTMA_Penyampaian Prospektus                                             |     2 |      0.32 |
| 254 | 20250613_SMAR_Penyampaian Bukti Iklan Pengurmuman Prospektus Ringkas Penaw       |     1 |      1.58 |
| 255 | 20250616_SGRO_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena       |     1 |      0.54 |
| 256 | 20250616_TUFI_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Penerbitan P       |     3 |      1.85 |
| 257 | 20250616_WOMF_Penyampaian Prospektus                                             |     2 |      1.56 |
| 258 | 20250618_BRIS_Penyampaian Prospektus                                             |     2 |      1.84 |
| 259 | 20250618_FIFA_Penyampaian Bukti Iklan Bukti Pengumuman Prospektus Ringkas        |     2 |      0.48 |
| 260 | 20250618_MEDC_Penyampaian Prospektus                                             |     2 |      1.08 |
| 261 | 20250619_BMTR_Informasi Tambahan dan_atau Perbaikan atas Prospektus Ringka       |     1 |      0.32 |
| 262 | 20250619_BMTR_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      3.17 |
| 263 | 20250619_BUMI_Penyampaian Bukti Iklan Prospektus Ringkas dalam Rangka Pena       |     2 |      4.38 |
| 264 | 20250619_BUMI_Publikasi Prospektus Ringkas dalam Rangka Penawaran Umum Ber       |     1 |      0.81 |
| 265 | 20250619_RMKE_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Prospektus R       |     1 |      0.39 |
| 266 | 20250619_SMDR_Penyampaian Prospektus                                             |     1 |      0.62 |
| 267 | 20250620_TBIG_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     4 |      8.49 |
| 268 | 20250620_TBIG_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      8.34 |
| 269 | 20250623_MEDP_Penyampaian Prospektus                                             |     2 |      1.02 |
| 270 | 20250623_PYFA_Prospektus Ringkas atas Penawaran Umum Berkelanjutan Obligas       |     2 |      0.77 |
| 271 | 20250623_WIFI_Penyampaian Prospektus                                             |     2 |      0.85 |
