Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
680,BJBR04BSBCN1,Obligasi Subordinasi Berkelanjutan IV Bank BJB Tahap I Tahun 2024 Seri B,BJBR,2031-07-05T07:00:00,idA+,697045000000.0
681,SMPPGD03BCN1,Sukuk Mudharabah Berkelanjutan III Pegadaian Tahap I Tahun 2024 Seri B,PPGD,2027-07-05T07:00:00,idAAA(sy),18045000000.0
685,BJBR04ASBCN1,Obligasi Subordinasi Berkelanjutan IV Bank BJB Tahap I Tahun 2024 Seri A,BJBR,2029-07-05T07:00:00,idA+,744265000000.0
687,SMII04BCN1,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap I Tahun 2024 Seri B,SMII,2027-07-05T07:00:00,idAAA,60010000000.0
689,PPGD06BCN1,Obligasi Berkelanjutan VI Pegadaian Tahap I Tahun 2024 Seri B,PPGD,2027-07-05T07:00:00,idAAA,51115000000.0
692,SMPPGD01BSOCN1,Sukuk Mudharabah Berwawasan Sosial Berkelanjutan I Pegadaian Tahap I Tahun 2024 Seri B,PPGD,2027-07-05T07:00:00,idAAA(sy),100000000.0
697,SMFP07CCN1,Obligasi Berkelanjutan VII Sarana Multigriya Finansial (Persero) Tahap I Tahun 2023 Seri C,SMFP,2028-07-12T07:00:00,idAAA,65000000000.0
698,SMFP07BCN1,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap I Tahun 2023 Seri B,SMFP,2026-07-12T07:00:00,idAAA,747000000000.0
699,SKSMFP01CN1,Sukuk Musyarakah Berkelanjutan I Sarana Multigriya Finansial (Persero) Tahap I Tahun 2023,SMFP,2028-07-12T07:00:00,idAAA(sy),170500000000.0
700,BMRI01BGNCN1,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank Mandiri Tahap I Tahun 2023 Seri B,BMRI,2028-07-04T07:00:00,idAAA,3050000000000.0
720,ARKO01AGN,Obligasi Berwawasan Lingkungan I Arkora Hydro Tahun 2023 Seri A,ARKO,2026-08-08T07:00:00,idA+,318060000000.0
721,ARKO01BGN,Obligasi Berwawasan Lingkungan I Arkora Hydro Tahun 2023 Seri B,ARKO,2028-08-08T07:00:00,idA+,21835000000.0
726,PPGD05BCN4,Obligasi Berkelanjutan V Pegadaian Tahap IV Tahun 2023 Seri B,PPGD,2026-08-24T07:00:00,idAAA,228025000000.0
727,SMPPGD02CN4,Sukuk Mudharabah Berkelanjutan II Pegadaian Tahap IV Tahun 2023,PPGD,2026-08-24T07:00:00,idAAA(sy),235040000000.0
765,BBRI01CGNCN2,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap II Tahun 2023 Seri C,BBRI,2026-10-17T07:00:00,idAAA,500000000000.0
768,SMFP07CCN2,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap II Tahun 2023 Seri C,SMFP,2028-10-20T07:00:00,idAAA,1300000000000.0
769,SMFP07BCN2,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap II Tahun 2023 Seri B,SMFP,2026-10-20T07:00:00,idAAA,256000000000.0
770,TPR-BBRI02XXJP,LTN Yang Dilakukan Tanpa Melalui Penawaran Umum PT Bank Rakyat Indonesia (Persero) Tbk II Tahun 2023,BBRI,2037-01-25T07:00:00,,59485072875.0
796,SMII04BCN2,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap II Tahun 2024 Seri B,SMII,2027-12-06T07:00:00,idAAA,600000000000.0
797,SMII04DCN2,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap II Tahun 2024 Seri D,SMII,2031-12-06T07:00:00,idAAA,1206005000000.0
798,SMII04CCN2,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap II Tahun 2024 Seri C,SMII,2029-12-06T07:00:00,idAAA,543995000000.0
799,BJBR01PBCN1,Surat Berharga Perpetual Berkelanjutan I Bank BJB Tahap I Tahun 2024,BJBR,2030-06-10T07:00:00,idA,1000000000000.0
800,BJBR01BSLCN1,Obligasi Keberlanjutan Berkelanjutan I Bank BJB Tahap I Tahun 2024 Seri B,BJBR,2029-12-10T07:00:00,idAA,800000000000.0
803,BJBR01ASLCN1,Obligasi Keberlanjutan Berkelanjutan I Bank BJB Tahap I Tahun 2024 Seri A,BJBR,2027-12-10T07:00:00,idAA,200000000000.0
815,TPR-SMBRIS01X3JP,Sukuk Mudharabah Muqayadah Jangka Panjang Yang Dilakukan Tanpa Melalui Penawaran Umum I PT Bank BSI Tbk Tahun 2024 Tahap III,BRIS,2036-12-20T07:00:00,,7968794963.0
836,SMPNMP07X4V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap IV,PNMP-M,2026-09-29T07:00:00,idAAA(sy),635000000000.0
