IssuerCode,n_bonds,total_outstanding_triliun,priority_tier,batch,green_name_hint,social_name_hint,sample_bond_names
MLJK,2,0.784,3,6,,,Obligasi I Marga Lingkar Jakarta Tahun 2017 Seri E | Obligasi I Marga Lingkar Jakarta Tahun 2017 Seri D
MORA,4,0.768,3,6,,,Sukuk Ijarah Berkelanjutan II Moratelindo Tahap II Tahun 202 | Sukuk Ijarah Berkelanjutan II Moratelindo Tahap II Tahun 202
PRTL,2,0.758,3,6,,,Obligasi Berkelanjutan II Protelindo Tahap II Tahun 2021 Ser | Obligasi Berkelanjutan IV Protelindo Tahap I Tahun 2024 Seri
CARE,2,0.75,3,7,,,Sukuk Wakalah I Metro Healthcare Indonesia Tahun 2025 Seri B | Sukuk Wakalah I Metro Healthcare Indonesia Tahun 2025 Seri A
BSLT,1,0.75,3,7,,,Obligasi Berkelanjutan I Bank SulutGo Tahap I Tahun 2021
NIRO,1,0.75,3,7,,,MTN City Retail Developments I Tahun 2021
CASI-M,1,0.75,3,7,,,MTN Capital Strategic Invesco II Tahun 2022
AGII,12,0.743,3,7,,,Obligasi Berkelanjutan II Aneka Gas Industri Tahap I Tahun 2 | Sukuk Ijarah Berkelanjutan II Aneka Gas Industri Tahap III T
CCIN-M,13,0.65,3,7,,,MTN Crystal Cakrawala Indah I Tahun 2019 Seri A | MTN Crystal Cakrawala Indah I Tahun 2019 Seri B
PNMP-M,1,0.635,3,7,,,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional 
BSSB,1,0.62,3,7,,,Obligasi Berkelanjutan III Bank Sulselbar Tahap I Tahun 2021
AGPU-M,4,0.6,3,7,,,LTN I PT Adhi Guna Putera Tahun 2024 Tahap 2 | MTN I PT Adhi Guna Putera Tahun 2022 Seri A
SMGR,1,0.59,3,7,,,Obligasi Berkelanjutan II Semen Indonesia Tahap I Tahun 2022
MPMF,2,0.58,3,7,,,Obligasi Berkelanjutan I JACCS MPM Finance Indonesia Tahap I | Obligasi Berkelanjutan I JACCS MPM Finance Indonesia Tahap I
FMFN,2,0.568,3,7,,,Obligasi Berkelanjutan I KB Finansia Multi Finance Tahap I T | Obligasi II KB Finansia Multi Finance Tahun 2023 Seri B
TYRO,2,0.55,3,7,,,Obligasi Tamaris Hydro I Tahun 2022 Seri C | Obligasi Tamaris Hydro I Tahun 2022 Seri B
SRAJ,1,0.542,3,7,,,Obligasi I Sejahteraraya Anugrahjaya Tahun 2022 Seri B
PJAA,3,0.503,3,7,,,Obligasi Berkelanjutan III Jaya Ancol Tahap I Tahun 2024 Ser | Obligasi Berkelanjutan III Jaya Ancol Tahap I Tahun 2024 Ser
DWGL,2,0.5,3,7,,,Obligasi I Dwi Guna Laksana Tahun 2025 | MTN PT Dwi Guna Laksana Tbk Tahun 2022
LEND-M,3,0.5,3,7,,,MTN I PT LEN Industri (Persero) Tahun 2023 Tahap I Seri A | MTN I PT LEN Industri (Persero) Tahun 2023 Tahap I Seri B
IKMS-M,1,0.5,3,7,,,MTN INKA Multi Solusi II Tahun 2023
INPP,2,0.5,3,7,,,Obligasi I Indonesian Paradise Property Tahun 2025 Seri B | Obligasi I Indonesian Paradise Property Tahun 2025 Seri A
BANK,1,0.5,3,7,,,Sukuk Wakalah Berkelanjutan I Bank Aladin Syariah Tahap I Ta
DAAZ,2,0.5,3,7,,,Obligasi I Daaz Bara Lestari Tahun 2025 Seri A | Obligasi I Daaz Bara Lestari Tahun 2025 Seri B
KJIE-M,5,0.458,3,7,,,Surat Utang Jangka Panjang Karawang Jabar Industrial Estate  | Surat Utang Jangka Panjang Karawang Jabar Industrial Estate 
TBLA,1,0.425,3,7,,,Obligasi Berkelanjutan II Tunas Baru Lampung Tahap I Tahun 2
LTLS,2,0.42,3,7,,,Obligasi Berkelanjutan III Lautan Luas Tahap II Tahun 2021 S | Obligasi Berkelanjutan IV Lautan Luas Tahap I Tahun 2024
KEID-M,4,0.4,3,7,,,MTN I Kedaung Industrial Seri C | MTN I Kedaung Industrial Seri B
APIC,1,0.4,3,8,,,MTN Pacific Strategic Financial I Tahun 2021
TKIM,1,0.4,3,8,,,Sukuk Mudharabah Jangka Panjang Yang Dilakukan Tanpa Melalui
PPRO,3,0.375,3,8,,,Obligasi Berkelanjutan II PP Properti Tahap I Tahun 2020 Ser | Obligasi Berkelanjutan II PP Properti Tahap III Tahun 2021 S
PTPD-M,2,0.351,3,8,,,MTN VIII PTPN II Seri A | MTN VIII PTPN II Seri B
WSKR-M,3,0.34,3,8,,,MTN III Waskita Karya Realty Tahun 2022 Tahap II | MTN III Waskita Karya Realty Tahun 2022 Tahap III
KAEF,1,0.333,3,8,,,Obligasi Wajib Konversi Kimia Farma I Tahun 2023
BRTA-M,2,0.3,3,8,,,MTN I Barata Indonesia Tahun 2017 Seri A | MTN I Barata Indonesia Tahun 2017 Seri B
REAS-M,1,0.3,3,8,,,MTN Rekapastika Asri I Tahun 2019 Seri A
SMIL,2,0.3,3,8,,,Obligasi I Sarana Mitra Luas Tahun 2024 Seri B | Obligasi I Sarana Mitra Luas Tahun 2024 Seri A
NMVS-M,5,0.285,3,8,,,Sukuk Mudharabah Jangka Menengah V PT PNM Ventura Syariah Ta | Sukuk Mudharabah Jangka Menengah II PT PNM Ventura Syariah T
WPNU-M,4,0.28,3,8,,,MTN Wadhe Putera Nusantara I Tahun 2019 Seri C | MTN Wadhe Putera Nusantara I Tahun 2019 Seri D
VOKS,1,0.25,3,8,,,Obligasi Berkelanjutan II Voksel Electric Tahap I Tahun 2023
BHAT,1,0.25,3,8,,,MTN Bhakti Multi Artha I Tahun 2022
PSAB,2,0.245,3,8,,,Obligasi Berkelanjutan I J Resources Asia Pasifik Tahap VI T | Obligasi Berkelanjutan I J Resources Asia Pasifik Tahap V Ta
KETR,3,0.22,3,8,,,Obligasi Berkelanjutan I Ketrosden Triasmitra Tahap I Tahun  | Obligasi Berkelanjutan I Ketrosden Triasmitra Tahap I Tahun 
GRAF-M,1,0.2,3,8,,,Medium Term Notes II PT Gratama Finance Indonesia Tahun 2025
INPC-M,1,0.2,3,8,,,LTN Subordinasi I Bank Artha Graha Internasional Tahap I Tah
BOGA,1,0.2,3,8,,,MTN Bintang Oto Global I Tahun 2021
SMAG-M,2,0.2,3,8,,,MTN I Sari Murni Abadi Tahun 2022 Tahap I | MTN I Sari Murni Abadi Tahun 2022 Tahap II
GDLI-M,4,0.2,3,8,,,MTN III PT Gading Danalestari Tahun 2025 Tahap III | MTN III PT Gading Danalestari Tahun 2025 Tahap I
REFI,1,0.2,3,8,,,Obligasi I REFI Tahun 2022 Seri C
COCO,2,0.2,3,8,,,MTN Wahana Interfood Nusantara I Tahun 2022 Tahap I | MTN PT Wahana Interfood Nusantara Tbk I Tahun 2023 Tahap II
MBPS-M,1,0.18,3,8,,,MTN I PT Baliprada Segara Tahun 2026
IHSG-M,1,0.18,3,8,,,MTN II PT Intisumber Hasil Sempurna Global Tahun 2025
MNMN-M,2,0.17,3,8,,,MTN II PT Mitra Niaga Madani Tahun 2024 Tahap I | MTN II PT Mitra Niaga Madani Tahun 2024 Tahap II
CMTA-M,3,0.162,3,9,,,MTN II PT Cometa Can Tahun 2023 Tahap I | MTN II PT Cometa Can Tahun 2023 Tahap II
AMCF,1,0.16,3,9,,,EBA Avrist AM CF 01 Tagihan Spaylater Kelas A
MBMN-M,2,0.15,3,9,,,MTN I PT Mitra Bisnis Madani Tahun 2024 Tahap II | MTN I PT Mitra Bisnis Madani Tahun 2024 Tahap I
